S.no Component,,Cities,Count,Sector
37,In-bus information system and wifi,Pune,1,Transportation & Mobility
38,Private bus aggregator,Pune,1,Transportation & Mobility
39,Intelligent road asset management,Pune,1,Transportation & Mobility
40,"Give up water subsidy""campaign",Pune,1,Assured Water Supply
41,ICT enabled billing and recovery department,"Pune, Surat",2,
42,e-challans for traffic violations,"Bhubneshwar, Pune",2,Transportation & Mobility
43,ICT and social media based 2 way communication with citizens,Jaipur,1,
44,ERP with GIS platform for corporation,Surat,1,
45,Ticket vending machines and value machines,Ahmedabad,1,
46,Water accounting at community level,Ahmedabad,1,Assured Water Supply
47,RFID tags for SWM,"Jabalpur, Coimbatore, Bhopal",3,
48,Street sweeping and dustinf machines,Jabalpur,1,Solid Waste Management
49,Capacity bulding of staff,"Jabalpur, Ludhiana",2,Governance
50,Institutionalising SLB,Solapur,1,
51,Mapping of utilities,Solapur,1,
52,Data analytics centre,"Solapur, Coimbatore, Bhopal",3,Governance
53,Intelligent solar powered lights,"Devanagere, Belgavi",2,Power Supply
54,Bicycle pods with PIS,Devanagere,1,Transportation & Mobility
55,Smart paving (capture energy from movement),Devanagere,1,Power Supply
56,"One website, app and call centre",Devanagere,1,Governance
57,Pedestrian and bicycle activated signals,Indore,1,Transportation & Mobility
58,Supervision of waste processing facility,Indore,1,Solid Waste Management
59,Smart grid and energy management,NDMC,1,Power Supply
60,Mini STP,NDMC,1,
61,Rainwater harvesting,NDMC,1,Assured Water Supply
62,Smart classrooms,NDMC,1,Education
63,Virtual hospital,NDMC,1,Health
64,Weighing machines with RFIS/ NFC,Kakinada,1,
65,GPS for geofencing garbage bins,"Indore, Coimbatore, Kakinada",3,Solid Waste Management
66,Handheld biometric system,"Coimbatore, Kakinada",2,Governance
67,Kiosks (for urban services and grievnce),"Kochi, Devangere, Kakinada, Ludhiana",4,Transportation & Mobility
68,Junction improvement,Belgavi,1,Transportation & Mobility
69,Para-transit facility,Belgavi,1,Transportation & Mobility
70,Bus terminal,Belgavi,1,Transportation & Mobility
71,Cleaner fuels,Belgavi,1,Power Supply
72,Solar panels on bus top roof,Guwahati,1,"Transportation & Mobility, Power Supply"
73,Tourism mobile app,Guwahati,1,Identity & Culture
74,Bus bays,Guwahati,1,Transportation & Mobility
75,Cycle sharing,"Devangere, Chennai",2,Transportation & Mobility
76,Parking management (pricing),Chennai,1,Transportation & Mobility
77,Online system of water connections,Chennai,1,Assured Water Supply
78,Smart E- Rickshaw with charging station,Ludhiana,1,Transportation & Mobility
79,GIS enabled revenue collection (land),Ludhiana,1,
80,Water level sensors,"Kakinada, Guwahati, Chennai, Bhopal",4,Assured Water Supply
81,Intelligent shopping apps,Bhopal,1,
