"List of Projects as per Smart City Proposal : Varanasi","",""
"Sl No.","Projects in SCP","Cost (Rs. in Crore)"
"76.0","Upgradation and Development of Ganga Museum at Manmandir","2.0"
"77.0","Night Bazar at Assi Ghat and Ravidas Park","0.0"
"78.0","Light and Sound Show
(watching by boats, bookings by online APP ) at Assi Ghat","0.4"
"79.0","Light and Sound Show at Ravi Das Park","1.5"
"80.0","Inter Modal Hubs - including Footpath for pedestrians, Feeder Buses and Bicycles at 26 mtro
stations","100.0"
"81.0","Smart bus stops on pilot basis - 50 nos.","7.5"
"","Social Inclusion",""
"82.0","Association of elderly people in music schools and Yoga kendra (POLICY LEVEL)","0.0"
"83.0","Skill development for Street Vendors for Sanitation and Hygiene","0.09"
"84.0","I. Skill Development of the artisans under Baba Saheb Hastsilp Vikas Yojana (Central Govt. Scheme) II. State Government skill promotion initiatives
III. Trade development centres for artisans
IV. Linkages with the bank for credit cards and life insurance
V. Skill development for Widows","1.0"
"85.0","Vocational Training for Street Vendors under Street Vendors Act 2014","5.0"
"86.0","Entrepreneur skill development for Street Vendor under Street Vendors Act 2014","5.0"
"87.0","Voice Guided Heritage Tours","0.2"
"88.0","20 Electric buses with battery infrastructure","6.0"
"89.0","e-Auto(Solar powered )","0.2"
"90.0","Amphibious for Sanskrtic Leahar","1.0"
"91.0","Amphibious for Kashi Parikarma","10.0"
"92.0","LED Panel for audio/video information dissemination under CSR","10.0"
"93.0","Repair and development of 34  roads with Heritage Development and Theme Enhancement in
ABD area","31.51"
"94.0","Repair of roads (130 KM) in Pan City by PWD","20.0"
"95.0","Weavers Skill Development and Trade Facilitation Centre","50.0"
"96.0","Weavers Museum","20.0"
"97.0","Skill Development Centre for Widows","2.0"
"98.0","Skill Development Centre for Transgender","2.0"
"99.0","Culture Competition and Festival for Music, Singing, Weavers, Swimming, Boat Race etc.","5.0"
"100.0","Redevelopment of Manikarnika Ghat","6.0"
"101.0","Redevelopment of Harishchadra Ghat- Electric crematorium","4.0"
"102.0","Jal Sav Vahini- Varanasi Vikas Samiti","0.5"
"103.0","Waste processing plant by IOC","10.0"
"104.0","Capacity Building   Under JICA","32.0"
"105.0","Affordable Housing","62.84"
"","Pan City",""
"","Intelligent Traffic Management",""
"106.0","IT tools for traffic management, enforcement and surveillance at 64 intersections  identified
by the traffic police department. These tools include Smart Traffic Signals","55.3"
"107.0","Automatic number plate recognition system, Red-light violation detection system, E-Challan","14.04"
"108.0","Variable Message Signs, CCTV surveillance, Video Analytics etc. Controlled from a Central
Control Center","2.82"
"","Smart Parking",""
"109.0","Development of smart parking at 8 locations integrated with charge stations and NMT parking in -3 level. The parking is also integrated with smart card and mobile app. Parking to be
developed for multi use commercial activities.","200.0"
"110.0","Development of smart parking at 3 locations integrated with charge stations and NMT parking in -3 level. The parking is also integrated with smart card and mobile app. Parking to be
developed for multi use commercial activities.","75.0"
"Sl No.","Projects in SCP","Cost (Rs. in Crore)"
"","Energy Efficient Street lighting",""
"111.0","Energy Efficient Street lighting at City level- 36000","94.8"
"112.0","Smart Street lights integrated with Wi-Fi, Panic / Emergency Buttons, CCTV & Video Analytics Digital Signage, Air Quality Monitoring, Consumption analytics, management","8.0"
"","Innovative use of open Space Visible improvement in the Area (Landscaping and Urban Design)",""
"113.0","Common Smart Kashi Signage shop boards","5.0"
"","Safety of citizens especially children, women and elderly",""
"114.0","(CCTV Surveillance under ITMS (Covered under ITMS )","0.0"
"115.0","Augmentation of Womenhelp line","0.3"
"116.0","Development of All Women- Police Station (Policy of intervention)","0.0"
"117.0","Development of Elderly Helpline","0.5"
"","Additional smart applications, covering all the essential features",""
"118.0","Kashi Card
Integrated Smart City Card (for locals and visitors)  multi-utility card (Same as A)","0.0"
"119.0","Kashi App - Integrated Smart City App (for citizens and visitors) with E-darshan platform
including
- e-booking for morning Aarti Vishwanath temple
- e-Booking for Gnaga Aarti
- e-booking of Prasadam
- Online channel for Live streaming of Aarti/Puja
- E-Booking of affiliated Dharmshala and hotels","1.0"
"120.0","e-Governance Services for select departments under e-District Platform","5.0"
"121.0","Smart Environment Monitoring- water Quality, Air quality and Early warning sensors","1.0"
"122.0","City wide LPWAN Sensor Network","1.0"
"","Common Platforms",""
"123.0","Utility Dashboards- Common Dashboard (Power, Water, Gas etc) Usage, Leaks, Billing
Reporting","0.75"
"124.0","Digital Wallet - Kashi Card Platform integrated with PayGov of GoI","0.8"
"125.0","Citizens Engagement Platform (App)","0.5"
"126.0","Digital Signage Platform (Events, Info, Schedules, Storytelling of History, Significance","0.4"
"127.0","Interactive Kiosks Platform","0.4"
"128.0","Share / Rent / Book Vehicles (E-Rickshaws, e-Boats. Rent-a-Cycle)","0.5"
"129.0","City Operational Command Center : Integrated Command & Control Center: Power, Water, Transport Traffic/Parking, Waste, Crowd, Environmental, Emergency Response, Disaster
Management etc","10.0"
"","Robust IT connectivity and digitalization",""
"130.0","Citywide OFC infrastructure  through PPP with open access protocol, access charge, revenue
share based agreement","40.0"
"131.0","Digitization and implementation of e-office in Nagar Nigam and SPV","10.0"
"132.0","Implementation of Bio-metric Attendance System in Nagar Nigam and SPV","1.0"
"Note-  This only indicates cost of individual projects given in the SCP. The total value of SCP may additionally include other costs such as DPR preparation, PMC, O&M etc.","",""
