"List of Projects as per Smart City Proposal : Kochi","","","","","",""
"Sl. No.","Projects in SCP","Cost (Rs. in Crore)","City Tag","Size","Indicator","Unknown"
"29.0","Undergound LT Line","0.1","Energy Supply - West Kochi","ABD","","Power Supply"
"30.0","LT UG for Streetlights","0.01","Energy Supply - West Kochi","ABD","","Power Supply"
"31.0","AMR Metering - Single phase","6.9","Energy Supply - West Kochi","ABD","","Power Supply"
"32.0","AMR Metering - Three phase","1.1","Energy Supply - West Kochi","ABD","","Power Supply"
"33.0","AMR Metering - HT","0.05","Energy Supply - West Kochi","ABD","","Power Supply"
"34.0","RMU with Remote terminal units","1.74","Energy Supply - West Kochi","ABD","","Power Supply"
"35.0","Distribution panel board","21.56","Energy Supply - West Kochi","ABD","","Power Supply"
"36.0","Installation of feeder pillars","5.24","Energy Supply - West Kochi","ABD","","Power Supply"
"37.0","Underground Cabling - 11 KV","4.35","Energy Supply - Mainland","ABD","","Power Supply"
"38.0","LT UG Cabling","5.01","Energy Supply - Mainland","ABD","","Power Supply"
"39.0","Installation of Transformers (Compact Sub-stations)","10.26","Energy Supply - Mainland","ABD","","Power Supply"
"40.0","Installation of Ring Main Units with Remote terminal units","7.61","Energy Supply - Mainland","ABD","","Power Supply"
"41.0","Smart Meters (AMR)","26.6","Energy Supply - Mainland","ABD","","Power Supply"
"42.0","Installation of feeder pillars","30.2","Energy Supply - Mainland","ABD","","Power Supply"
"43.0","Solar based LED with Smart poles","12.5","Energy Efficiency","ABD","","Power Supply"
"44.0","Solar panels in Households and Institutions - Grid connected","17.58","Energy Efficiency","ABD","","Power Supply"
"45.0","Equipments including Smart Street sweepers/ GPS enabled Vehicles/ Compactors","6.0","Solid Waste and Sanitation","ABD","","Solid Waste Management"
"46.0","Bio-composting in all Government institutions","0.05","Solid Waste and Sanitation","ABD","","Solid Waste Management"
"47.0","Household segregated bins for Organic and inorganic wastes","0.74","Solid Waste and Sanitation","ABD","","Solid Waste Management"
"48.0","Public toilets with Fit-in Treatment facility for Decentralized STP in West kochi","0.1","Solid Waste and Sanitation","ABD","","Solid Waste Management"
"49.0","Upgradation of Nehru Park","2.0","Parks and Open Spaces","ABD","","Public Open Space"
"50.0","Development of open spaces and playgrounds","0.3","Parks and Open Spaces","ABD","","Public Open Space"
"51.0","Open space corridor linking DH Ground to Mangalavanam (depends on ecological
sensitivity)","0.9","Parks and Open Spaces","ABD","","Public Open Space"
"52.0","Mangalavanam Eco-restoration project","1.0","Parks and Open Spaces","ABD","","Public Open Space"
"53.0","Restoration of Mullassery canal - including linking of standardized area drains","1.0","Canal Restoration","ABD","","Public Open Space"
"54.0","Restoration of Market canal - Walkways and Market square around the canal pond, Solar
paneled roofs, LED Lighting, Light posts","5.0","Canal Restoration","ABD","","Public Open Space"
"55.0","Restoration of Kalvathy canal and area drain improvement - Open spaces, Street furniture
and landscaping features","20.0","Canal Restoration","ABD","","Wastewater Management"
"56.0","Restoration of Rameswaram-Kalvathy canal - Upto Cochin college  Walkways and Linking
the Canal Bank Road","15.0","Canal Restoration","ABD","","Wastewater Management"
"57.0","Water transport infrastructure (around 12 100 pax boats)","42.0","Urban Mobility","ABD","","Assured Water Supply"
"58.0","Electric Feeders, Bicycle Sharing, Elevated Walkways and Travelators","11.48","Urban Mobility","ABD","","Transportation & Mobility"
"59.0","Walkway from Ekm Jetty to Metro station","9.0","Urban Mobility","ABD","","Transportation & Mobility"
"60.0","Jetty improvement","8.0","Urban Mobility","ABD","","Transportation & Mobility"
"61.0","Property development along jetties","7.2","Urban Mobility","ABD","","Transportation & Mobility"
"62.0","Boatyard and Command & Control Centre","20.0","Urban Mobility","ABD","","Transportation & Mobility"
"63.0","Dredging cost","10.0","Urban Mobility","ABD","","Unknown"
"64.0","Extend Smart Wi-Fi bus shelters with LED bulbs, FM radio, USB drive slots,
magazine/newspaper kiosks, mobile charger units","0.6","Urban Mobility","ABD","","Transportation & Mobility"
"65.0","Standard Wifi Enabled Bus Stands With Commercial space development","3.0","Urban Mobility","ABD","","Transportation & Mobility"
"66.0","Integrated redevelopment of Slum housing","141.4","Housing","ABD","","Housing & Inclusiveness"
"67.0","Upgradation of infrastructure in Housing through Credit linked schemes","24.35","Housing","ABD","","Housing & Inclusiveness"
"68.0","Construction & upgradation of 755 DUs in Thuruthy, Kalvathy & Konchery colony","74.24","Housing","ABD","","Housing & Inclusiveness"
"69.0","Broadway Market and Ernakulam market Redevelopment and Mattancherry spice market","110.0","Housing","ABD","","Housing & Inclusiveness"
"70.0","Standard Hawker zones in Fort Kochi","5.0","Housing","ABD","","Economy & Employment"
"71.0","Scale up of GH into a Super-speciality care centres","30.0","Health","ABD","","Housing & Inclusiveness"
"72.0","Integrated development of 4 Hospitals in West Kochi - Excellence in Secondary care","10.0","Health","ABD","","Health"
"73.0","Upgradation of facilities - Basic services, Digital classrooms, Libraries, Eco-toilets, Sports kits
, Biogas plant, Urban farming etc","","Education","ABD","","Education"
"74.0","Anganwadis and public schools","4.5","Education","ABD","","Education"
"75.0","Higher Educational institutions","1.0","Education","ABD","","Education"
"76.0","5 Rapid response boats for water transport safety","0.5","Safety & Security","ABD","","Safety & Security"
"77.0","Drone Surveillance","0.3","Safety & Security","ABD","","Safety & Security"
"78.0","Upgradation of Community Centre at Mattancherry with indoor sports facilities","1.0","Other Social Infrastructure","ABD","","Identity & Culture"
"79.0","Standardize structures for ""Petti Kada""","0.6","Other Social Infrastructure","ABD","","Unknown"
"80.0","Fortkochi and Mattanchery region Master plan for Tourism","30.0","Identity & Culture","ABD","","Identity & Culture"
"81.0","Spatial Mapping of assets and SCADA systems for Information gathering with monitoring
centres","15.0","Others","ABD","","Unknown"
"82.0","(Intelligent Water Management Solutions for 24X7 Water Supply)","621.0","24/7 Water Supply Pan-City","Pan City","","Assured Water Supply"
"83.0","(Smart Card Integration & an integrated city app)","25.0","Integrated City App","Pan City","","Governance"
"84.0","Project development and contingency cost","45.0","Integrated City App","Pan City","","Governance"
