"List of Projects as per Smart City Proposal : Jaipur","","","","","",""
"Sl. No.","Projects in SCP","Cost (Rs. in Crore)","City Tag","Size","Indicator","Unknown"
"49.0","Implementation of public transit information portal for public entity owned
transit systems (JCTSL, JMRC)","25.7","Smart Multi-Modal Mobility","Pan City","","Transportation & Mobility"
"50.0","Extending public transiit information system to private operators, (Private
Mini Buses, IPTs)","2.5","Smart Multi-Modal Mobility","Pan City","","Transportation & Mobility"
"51.0","Development of Journey plannng apps & websites","0.5","Smart Multi-Modal Mobility","Pan City","","Transportation & Mobility"
"52.0","Communicatiion & Change Management","6.0","Smart Multi-Modal Mobility","Pan City","","Transportation & Mobility"
"53.0","PRTS","150.0","Smart Multi-Modal Mobility","Pan City","","Transportation & Mobility"
"54.0","Implementation of systems for monitoring of collection & clearing activities","1.0","Smart Solid Waste Management","Pan City","","Solid Waste Management"
"55.0","Registration of recyclers & rag pickers","0.5","Smart Solid Waste Management","Pan City","","Solid Waste Management"
"56.0","Development & Enhancement of Jaipur Unites App & Websites","0.5","Smart Solid Waste Management","Pan City","","Solid Waste Management"
"57.0","Integration of existing vehicle tracking systems & field monitoring","1.0","Smart Solid Waste Management","Pan City","","Solid Waste Management"
"58.0","Deployment ofSWM Operations systems & asset management systems","22.0","Smart Solid Waste Management","Pan City","","Solid Waste Management"
"59.0","Vehicle scheduling, depot asset management system for JNN","2.0","Smart Solid Waste Management","Pan City","","Solid Waste Management"
"60.0","Fleet management systems for JNN vehicles","1.05","Smart Solid Waste Management","Pan City","","Solid Waste Management"
"61.0","Extension of vehicle sehaduling systems for primary collections (PPP
operator)","3.11","Smart Solid Waste Management","Pan City","","Solid Waste Management"
"62.0","Extension of fleet management  systems for primary collections (PPP
Operator)","3.11","Smart Solid Waste Management","Pan City","","Solid Waste Management"
"63.0","Communications  & Change management","9.0","Smart Solid Waste Management","Pan City","","Solid Waste Management"
"64.0","Door to Door Collection","80.0","Smart Solid Waste Management","Pan City","","Solid Waste Management"
"65.0","C & D","15.0","Smart Solid Waste Management","Pan City","","Solid Waste Management"
"66.0","Brahmapuri STP capacity enhancement","50.0","Smart Solid Waste Management","Pan City","","Solid Waste Management"
"67.0","Waste to Energy","200.0","Smart Solid Waste Management","Pan City","","Solid Waste Management"
