"City Name","S.No","Project","ABD/Pan City/Other","Total SCP Cost
(in Crores)",""
"Jhansi","117.0","Training and Orientation for citizens","Pan City","0.15",""
"Jhansi","118.0","Project Development cost","Pan City","0.5",""
"Jhansi","","Smart Energy efficent Water management system","","",""
"Jhansi","119.0","GIS based Asset Mapping of Water","Pan City","2.75",""
"Jhansi","120.0","SCADA (actuators, pressure valves etc. )","Pan City","33.41",""
"Jhansi","121.0","Smart Metering of 35000 HHs","Pan City","43.75",""
"Jhansi","122.0","GIS based Sensor System for Ground","Pan City","2.0",""
"Jhansi","123.0","Domain at Central Command Centre","Pan City","0.3",""
"Jhansi","124.0","Distribution infrastructure for 17040.4","Pan City","170.4",""
"Jhansi","125.0","Project Development cost","Pan City","0.5",""
"Jhansi","","Intelligent transportation management","","",""
"Jhansi","126.0","Automated Signaling Systems @ 5 location","Pan City","10.0",""
"Jhansi","127.0","Variable Messaging System (VMS)","Pan City","0.5",""
"Jhansi","128.0","Digital Sign Boards for VMS","Pan City","0.5",""
"Jhansi","129.0","On-street Smart Parking Systems","Pan City","1.66",""
"Jhansi","130.0","Off-street Automated Multilevel car","Pan City","0.8",""
"Jhansi","131.0","Smart City Bus Service","Pan City","107.3",""
"Jhansi","132.0","Domain at Central Command Centre","Pan City","0.5",""
"Jhansi","133.0","Project Development cost","Pan City","0.5",""
"Note- This only indicates cost of individual projects given in the SCP. The total value of SCP may additionally include other costs such as DPR preparation, PMC,
O&M etc.","","","","",""
