"City Name","S.No","Project","ABD/Pan
City/Other","Total SCP Cost
(in Crores)",""
"Srinagar","87.0","Social protection plan and capacity building","Pan City","0.25",""
"Srinagar","88.0","Establishing community based trained task forces","Pan City","0.25",""
"Srinagar","89.0","Local forecast through weather station grid","Pan City","1.5",""
"Srinagar","90.0","Rapid warning dessimination through multiple media","Pan City","0.25",""
"Srinagar","91.0","Fire fighting including hydrants, fire stations","Pan City","6.55",""
"Srinagar","92.0","Relief shelters identications, pre-positioning and relief shelter inventory","Pan City","2.0",""
"Srinagar","93.0","Training and awareness","Pan City","0.25",""
"Srinagar","","Services and utilities","Pan City","",""
"Srinagar","94.0","real time water quality monitoring system","Pan City","0.5",""
"Srinagar","95.0","Air pollution monitoring units and time display boards","Pan City","0.6",""
"Srinagar","96.0","Solid waste land fill area development","Pan City","15.0",""
"Srinagar","97.0","Modern abbatoir with waste management system","Pan City","28.0",""
"Srinagar","98.0","Green corridors","Pan City","13.94",""
"Srinagar","99.0","PMC @ 5%","Other                       181.71","",""
"3815.99
Note- This only indicates cost of individual projects given in the SCP. The total value of SCP may additionally include other costs such as DPR preparation, PMC, O&M etc.","","","","",""
