"City Name","S.No","Project","ABD/Pan City/Other","Total SCP Cost
(in Crores)",""
"Allahabad","71.0","Development of integrated command and control centre including real time monitoring of city bus movements; developed and supported privately but managed jointly by SP traffic, Allahabad City Transport
Services Limited and Superintendent of Police","Pan City","350.0",""
"Allahabad","72.0","Installation of CCTV cameras","Pan City","0.78",""
"Allahabad","73.0","Emergency response vehicles & tow-away/ road clearance service","Pan City","1.05",""
"Allahabad","74.0","Diversion management inventory (marker boards, temporary traffic
lights, reflective safety lamps)","Pan City","1.0",""
"Allahabad","","E-rickshaw stands","","0.0",""
"Allahabad","75.0","Development of battery charging points","Pan City","0.09",""
"Allahabad","76.0","Development of storage area for spare batteries; rapid servicing area","Pan City","0.45",""
"Allahabad","77.0","Drivers' sitting area","Pan City","0.3",""
"Allahabad","78.0","Terminal for messaging with integrated traffic management centre","Pan City","0.06",""
"Allahabad","","Bicycle hire scheme","","0.0",""
"Allahabad","79.0","Development of bicycle stands","ABD","0.15",""
"Allahabad","80.0","Smart metering solution (unlock, hire, pay)","ABD","0.2",""
"Allahabad","81.0","Manager's station & contactless payment/ cash hire payment area","ABD","0.45",""
"Allahabad","82.0","Servicing area","ABD","0.02",""
"Allahabad","83.0","Bicycles","ABD","0.13",""
"Allahabad","","Pedetrianisation of Katra main road","","0.0",""
"Allahabad","84.0","Widening of median virge in Katra to support street vending  activities","ABD","0.4",""
"Allahabad","85.0","Clearing of encroachments along shoulders in Katra main road","ABD","0.2",""
"Allahabad","86.0","Provisioning of water, electricity, public conveniences along
pedestrianised streets for use by street vendors and visitors","ABD","5.3",""
"Allahabad","87.0","Construction of police beat posts and emergency services parking area","ABD","0.15",""
"Allahabad","88.0","Landscaping, street furniture, signages","ABD","0.4",""
"Allahabad","89.0","Construction of multilevel parking at lawyers chambers along with
parking information system","ABD","12.5",""
"Allahabad","","Pedestrianisation of MG Road sidewalks","","0.0",""
"Allahabad","90.0","Re-organisation of sidewalks to include sit out area and landscaping,
including lights, decorations & street furniture","ABD","2.85",""
"Allahabad","91.0","Re-paving service lane for use by e-rickshaws and cycle rickshaws","ABD","1.84",""
"Allahabad","92.0","Construction of public conveniences","ABD","0.39",""
"Allahabad","93.0","Signages","ABD","0.1",""
"Allahabad","94.0","Street performance area","ABD","0.11",""
"Allahabad","","Streetscape improvement along cross lanes in Civil Lines (Sarojini Naidu
Road, Lohia Road, KG Marg & Kamla Nehru Marg)","","0.0",""
"Allahabad","95.0","Re-surfacing of roads along with sidewalks, street furniture & signages","ABD","3.0",""
"Allahabad","96.0","Construction of underground drains, repair of footpath and culverts","ABD","15.0",""
"Allahabad","","Streetscape improvement along avenues in Civil Lines (MG Road, Elgin Road, Taskent Road, Tej Bahadur Sapru Road, portion of Thornhill road
from PD Tandon Road to Hathi Park crossing)","","0.0",""
"Allahabad","97.0","Widening and strengthening of carriageways","ABD","10.0",""
"Allahabad","98.0","Installation of blinker (slow down) signals at intersection of crosses and
avenues","ABD","0.8",""
"Allahabad","99.0","Installation of LED street lights and smart poles within streets of Civil
Lines","ABD","7.2",""
"Allahabad","100.0","Isolation of meter and line for LED street lights, meters, photo sensors &
automated switching on/off","ABD","0.36",""
"Allahabad","","Improvement in pedestrianisation and vehicle free zone at Prayag
Railway station","","0.0",""
"Allahabad","101.0","Construction of multi-level parking along with e-rickshaw stand, parking
information system","ABD","12.5",""
"Allahabad","102.0","Re-paving all roads leading to Prayag Railway station","ABD","5.0",""
"Allahabad","","General streetscape improvement and alignment of services","","0.0",""
"Allahabad","103.0","Laying of OFC along all mains streets of the ABD","ABD","3.7",""
"Allahabad","104.0","Moving all overhead LT and HT cabling for electricity underground","ABD","111.0",""
"Allahabad","105.0","Shifting of transformers, wherever necessary","ABD","0.04",""
"Allahabad","106.0","Installation of smart meters at household level","ABD","11.25",""
"Allahabad","107.0","Fencing and landscaping transformers to prevent them from being
visually disruptive","ABD","0.3",""
"Allahabad","108.0","Installation of LED street lights and smart poles within streets of Colonelganj, Allenganj, Katra, Old Katra and roads outside Allahabad
University","ABD","7.5",""
"Allahabad","109.0","Isolation of meter and line for LED street lights, meters, photo sensors &
automated switching on/off for all of Colonelganj, Allenganj, Katra, Old Katra and roads outside Allahabad University","ABD","0.38",""
"Allahabad","","e-Services","","0.0",""
"Allahabad","","Revamping and hosting of municipal corporation website","Pan City","1.0",""
"Allahabad","110.0","Development of mobile application to mirror website with respect to availing services - BDRS, trade license, conservancy, street light, mutation certificate, property tax arrears and dues, hiring of parks & playgrounds, other certificates as may be requred for issuance from municipal bodies","Pan City","0.25",""
"Allahabad","111.0","Allahabad City Transport Services Limited route planner","Pan City","0.05",""
"Allahabad","112.0","Mobile application to identify and report unsafe places, areas needing
repairs, unauthorised construction, encroachments etc.","Pan City","0.15",""
"Allahabad","113.0","IT infrastructure for ward and zonal offices","Pan City","5.0",""
"Allahabad","","Open space & park level improvement","","0.0",""
"Allahabad","114.0","Improvements in landscape elements, entry gate and approach road
improvement in Chandrasekhar Azad Park (formerly Alfred Park)","ABD","28.75",""
"Allahabad","115.0","Improvements in landscape elements, chidrens' play fixtures, enry gate
and approach road improvement in Sumitranandan Pant Park","ABD","3.0",""
"Allahabad","116.0","Repurposing of open space behind District court cmplex as park-cum
amphitheatre for various cultural events","ABD","10.0",""
"Allahabad","117.0","General improvement in landcape, picket fencing, entry gates, horticulture, instalation of gymnasium equipment and installation of
chldrens' fixtures (swings etc.) across selected parks within the city","Pan City","0.0",""
"Allahabad","118.0","Murals and mosaic art creation along major public facing compund walls
within the ABD area","ABD","3.33",""
"Allahabad","119.0","Laser show at Chandrasekhar Azad Park (formerly Alfred Park)","ABD","0.25",""
"Allahabad","120.0","Herbal gardens at Naini Sewage Farm, Ashok Nagar and Transport Nagar","Pan City","0.0",""
"Allahabad","121.0","Sculptor's park, between old Naini bridge & new Naini bridge","Pan City","0.0",""
"Allahabad","","Healthcare","","0.0",""
"Allahabad","122.0","Addition of a new dialysis unit in Beli Hospital","ABD","1.2",""
"Allahabad","123.0","e-Referral and patient record application development for cross referral
between hospitals and other healthcare providers","Pan City","15.0",""
"Allahabad","124.0","Repair and rehabilitation of Ayurvedic hospital","Pan City","0.5",""
"Allahabad","","Education","","0.0",""
"Allahabad","125.0","Catch-up classes - sponsorship scheme for teachers to record critical subject lectures in videographic form and made accessible through
YouTube/ Vimeo/ Dailtymotion channel","Pan City","0.2",""
"Allahabad","126.0","Augmenting OFC conectivity to schools plus data charges for a period of
five years @ 10 MBPS link","Pan City","0.44",""
"Allahabad","","Solar PV schemes","","0.0",""
"Allahabad","127.0","5 MW solar power plant at Allahabad University","ABD","35.0",""
"Allahabad","128.0","APJ Abdul Kalam urban solar cluster scheme - Solar PV installation in
Nagar Nigam office","ABD","4.96",""
"Allahabad","","Safety of women, law and order","","0.0",""
"Allahabad","129.0","Construction and development of Mahila thana within area based
devlelopment space (DM office, Kutchhehri road)","ABD","10.0",""
"Allahabad","130.0","Beat posts for women constables","ABD","0.8",""
"Note- This only indicates cost of individual projects given in the SCP. The total value of SCP may additionally include other costs such as DPR preparation, PMC, O&M etc.","","","","",""
